time,x,y,phi,vx,vy,phi_dot,u1,u2
1.000000000000000000e+00,1.500000000000000000e+01,2.800000000000000000e+01,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,-9.817414255845220428e-01,-6.876078032091068604e-01
5.100000000000000000e+01,1.500000000000000000e+01,2.800000000000000000e+01,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,-9.817414255845220428e-01,-6.876078032091068604e-01
1.010000000000000000e+02,1.500000000000000000e+01,2.800000000000000000e+01,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,-9.817414255845220428e-01,-6.876078032091068604e-01
1.510000000000000000e+02,1.500000000000000000e+01,2.800000000000000000e+01,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,-9.817414255845220428e-01,-6.876078032091068604e-01
2.010000000000000000e+02,1.500000000000000000e+01,2.800000000000000000e+01,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,-9.817414255845220428e-01,-6.876078032091068604e-01
2.510000000000000000e+02,1.500000000000000000e+01,2.800000000000000000e+01,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,-9.817414255845220428e-01,-6.876078032091068604e-01
3.010000000000000000e+02,1.500000000000000000e+01,2.799812905447823752e+01,-0.000000000000000000e+00,0.000000000000000000e+00,-3.741891043526786309e-02,-0.000000000000000000e+00,-9.817428054805118487e-01,-6.838125016293410408e-01
3.510000000000000000e+02,1.500000000000000000e+01,2.799218595559256428e+01,-9.765625000000000542e-05,0.000000000000000000e+00,-1.188619777134486827e-01,-1.953125000000000000e-03,-9.818590976208918519e-01,-6.755142984852295918e-01
4.010000000000000000e+02,1.499999760742187505e+01,2.798020698556627650e+01,-3.857177734375000309e-03,-4.785156250000000862e-05,-2.395794005257743109e-01,-7.519042968750000444e-02,-9.858769227930790358e-01,-6.633548840300458327e-01
4.510000000000000000e+02,1.499990071398925551e+01,2.796114527122996307e+01,-1.183105529785156117e-02,-1.937868652343750124e-03,-3.812342867262704660e-01,-1.594775512695312258e-01,-9.816994911051133421e-01,-6.487244759936688920e-01
5.010000000000000000e+02,1.499951395970183654e+01,2.793503622630517214e+01,-2.177938262786865281e-02,-7.735085748291015140e-03,-5.221808984957641009e-01,-1.989665466003417982e-01,-9.644061203226992340e-01,-6.335712011653901188e-01
5.510000000000000000e+02,1.499859361054004125e+01,2.790191508744485205e+01,-3.325467675629043690e-02,-1.840698323594665634e-02,-6.624227772064102959e-01,-2.295058825684356818e-01,-9.410700591894760603e-01,-6.181423831505886701e-01
6.020000000000000000e+02,1.499685852179771217e+01,2.786181691511867697e+01,-4.550029925018882204e-02,-3.470177484652896965e-02,-8.019634465235032650e-01,-2.449124498779676473e-01,-9.122110427163423463e-01,-6.024420704770895307e-01
6.520000000000000000e+02,1.499400867572375518e+01,2.781477659449397777e+01,-5.879498725511415891e-02,-5.699692147912149842e-02,-9.408064124940107575e-01,-2.658937600985067373e-01,-8.806934897360617631e-01,-5.865803617981906193e-01
7.020000000000000000e+02,1.498971835246204876e+01,2.776082883631224263e+01,-7.172721828451371351e-02,-8.580646523412743809e-02,-1.078955163634665704e+00,-2.586446205879909810e-01,-8.437926754200966162e-01,-5.704302523440070161e-01
7.520000000000000000e+02,1.498367071235237802e+01,2.770000817776126212e+01,-8.568725347410266480e-02,-1.209528021935391551e-01,-1.216413171019617323e+00,-2.792007037917788592e-01,-8.080430336444720529e-01,-5.542571863178469282e-01
8.020000000000000000e+02,1.497552373453258667e+01,2.763234898334288303e+01,-1.012469239956229339e-01,-1.629395563958494497e-01,-1.353183888367644361e+00,-3.111934104304054927e-01,-7.691565209952453408e-01,-5.379192574883563394e-01
8.520000000000000000e+02,1.496489620707490076e+01,2.755788544573643506e+01,-1.208506901748737372e-01,-2.125505491537047209e-01,-1.489270752128931230e+00,-3.920753235850161222e-01,-7.278090772355758631e-01,-5.214932603092352625e-01
9.020000000000000000e+02,1.495130783770792959e+01,2.747665158665786578e+01,-1.451216803598111560e-01,-2.717673873393928186e-01,-1.624677181571411388e+00,-4.854198036987482090e-01,-6.758201897096548505e-01,-5.046990493177465620e-01
9.520000000000000000e+02,1.493416398717214832e+01,2.738868125771453066e+01,-1.678772873164429136e-01,-3.428770107157003144e-01,-1.759406578866679283e+00,-4.551121391326353183e-01,-6.033819318728206316e-01,-4.870553988625317410e-01
1.002000000000000000e+03,1.491290714309710808e+01,2.729400814125575536e+01,-1.914313531198359175e-01,-4.251368815007573465e-01,-1.893462329175470860e+00,-4.710813160678601341e-01,-5.347825844507670956e-01,-4.694877100222078492e-01
1.053000000000000000e+03,1.488696023087063480e+01,2.719266575121912055e+01,-2.145273043353398412e-01,-5.189382445294770108e-01,-2.026847800732718419e+00,-4.619190243100781412e-01,-4.604063829924381346e-01,-4.516233489615569807e-01
1.103000000000000000e+03,1.485575739968794551e+01,2.708468743397251188e+01,-2.379898854667495400e-01,-6.240566236537935518e-01,-2.159566344932180026e+00,-4.692516226281939762e-01,-3.855852200084911030e-01,-4.336724891791772230e-01
1.153000000000000000e+03,1.481872381631131930e+01,2.697010636915197779e+01,-2.612104951873778225e-01,-7.406716675325007992e-01,-2.291621296410644160e+00,-4.644121944125655377e-01,-3.066735078152979521e-01,-4.154914574229516266e-01
1.203000000000000000e+03,1.477529057580260741e+01,2.684895557049539150e+01,-2.844940390890952631e-01,-8.686648101743158490e-01,-2.423015973131715572e+00,-4.656708780343483678e-01,-2.261265145817080713e-01,-3.971757535750542467e-01
1.253000000000000000e+03,1.472488723133621136e+01,2.672126788667193509e+01,-3.075902507905138306e-01,-1.008066889327972504e+00,-2.553753676469181944e+00,-4.619242340283710724e-01,-1.425504034979317991e-01,-3.786703881584025377e-01
1.303000000000000000e+03,1.466694792572544515e+01,2.658707600210743749e+01,-3.305270755628282875e-01,-1.158786112215324460e+00,-2.683837691289961302e+00,-4.587364954462887501e-01,-5.682810751848704767e-02,-3.600083036449094331e-01
1.353000000000000000e+03,1.460091070676339342e+01,2.644641243780560558e+01,-3.532909392377640012e-01,-1.320744379241110211e+00,-2.813271286036636454e+00,-4.552772734987141634e-01,3.117544690317115841e-02,-3.411848241615326183e-01
1.404000000000000000e+03,1.452621785979001601e+01,2.629930955216512700e+01,-3.749124988022017324e-01,-1.493856939467614664e+00,-2.942057712809578174e+00,-4.324311912887546794e-01,1.225583996268740650e-01,-3.221404676440321468e-01
1.454000000000000000e+03,1.444233965659598340e+01,2.614579954179269095e+01,-3.948050627729773887e-01,-1.677564063880693457e+00,-3.070200207448655405e+00,-3.978512794155126264e-01,2.145602826918572847e-01,-3.029626945914523084e-01
1.504000000000000000e+03,1.434878872936400285e+01,2.598591444231196590e+01,-4.095553618806571095e-01,-1.871018544639452497e+00,-3.197701989614537332e+00,-2.950059821535947480e-01,3.089744232208582742e-01,-2.835150775897382625e-01
1.554000000000000000e+03,1.424520369576595868e+01,2.581968612916848826e+01,-4.166836676721156207e-01,-2.071700671960974294e+00,-3.324566262869589561e+00,-1.425661158291697539e-01,3.963596335210309296e-01,-2.640849949195286372e-01
1.604000000000000000e+03,1.413140991230994103e+01,2.564714631843056836e+01,-4.172535868572060935e-01,-2.275875669120310807e+00,-3.450796214758366620e+00,-1.139838370180934479e-02,4.661701333479792431e-01,-2.450729143390089348e-01
1.654000000000000000e+03,1.400739341597592613e+01,2.546832656758618185e+01,-4.156294727897053565e-01,-2.480329926680342023e+00,-3.576395016887699896e+00,3.248228135001497707e-02,5.164398539004013688e-01,-2.266390657846234780e-01
1.704000000000000000e+03,1.387319399755855898e+01,2.528325827633586442e+01,-4.097155054578877076e-01,-2.683988368347297815e+00,-3.701365825006386334e+00,1.182793466363527696e-01,5.645743118234735070e-01,-2.081106200589355470e-01
1.754000000000000000e+03,1.372895654925746811e+01,2.509197268738164155e+01,-4.046856149109330780e-01,-2.884748966021662753e+00,-3.825711779084479680e+00,1.005978109390930075e-01,5.968785018063598180e-01,-1.900891292578048841e-01
1.804000000000000000e+03,1.357480430339106903e+01,2.489450088721203258e+01,-3.992262606979143369e-01,-3.083044917328019885e+00,-3.949436003392182037e+00,1.091870842603751557e-01,6.329427062322495745e-01,-1.718404786725938049e-01
1.854000000000000000e+03,1.341087101413756955e+01,2.469087380688311129e+01,-3.939952867034601791e-01,-3.278665785069997618e+00,-4.072541606578346851e+00,1.046194798890831279e-01,6.673874321028780976e-01,-1.535728986565870202e-01
1.904000000000000000e+03,1.323728484035983399e+01,2.448112222279568329e+01,-3.886632000347098326e-01,-3.471723475554692850e+00,-4.195031681748579544e+00,1.066417333750064589e-01,7.028953132740958232e-01,-1.351831003214371552e-01
1.954000000000000000e+03,1.305417641818124963e+01,2.426527675746853419e+01,-3.833949999197794889e-01,-3.662168443571701015e+00,-4.316909306542962455e+00,1.053640022986072622e-01,7.381112135924395856e-01,-1.167238105660118597e-01
2.004000000000000000e+03,1.286167481850462480e+01,2.404336788030786920e+01,-3.781080270282264899e-01,-3.850031993532392782e+00,-4.438177543213372545e+00,1.057394578310603406e-01,7.737022697518566305e-01,-9.816961453278139071e-02
2.054000000000000000e+03,1.265990957216581592e+01,2.381542590837284479e+01,-3.728436579572136922e-01,-4.035304926776223766e+00,-4.558839438700430513e+00,1.052873814202561625e-01,8.093228141832126132e-01,-7.953422974424348424e-02
2.105000000000000000e+03,1.244900965620705335e+01,2.358148100713734152e+01,-3.675811478986082959e-01,-4.217998319175258359e+00,-4.678898024710053782e+00,1.052502011721076075e-01,8.451344456201842492e-01,-6.081177121393769452e-02
2.155000000000000000e+03,1.222910400212477811e+01,2.334156319124786094e+01,-3.623308646089457019e-01,-4.398113081645576905e+00,-4.798356317789627568e+00,1.050056657932516291e-01,8.810447256505442581e-01,-4.200616790733645994e-02
2.205000000000000000e+03,1.200032124185958082e+01,2.309570232527767075e+01,-3.572844320219421554e-01,-4.575655205303959860e+00,-4.917217319403804687e+00,1.009286517400714844e-01,9.168600738155988639e-01,-2.312880046702653694e-02
2.255000000000000000e+03,1.176278501300984658e+01,2.284392812447717347e+01,-3.504824303994515944e-01,-4.750724576994711512e+00,-5.035484016009911024e+00,1.360400324498113600e-01,9.555310248362388625e-01,-4.032534629685238792e-03
2.305000000000000000e+03,1.151666196461532365e+01,2.258627015552052342e+01,-3.404568711307919826e-01,-4.922460967890443406e+00,-5.153159379132985940e+00,2.005111853731919025e-01,9.917746992150937579e-01,1.512298193325044109e-02
2.356000000000000000e+03,1.126219772287809917e+01,2.232275783724850271e+01,-3.244219753841697806e-01,-5.089284834744531416e+00,-5.270246365440446112e+00,3.206979149324436507e-01,1.000000000000000000e+00,3.431818024630305802e-02
2.406000000000000000e+03,1.099978514274396701e+01,2.205342044140768110e+01,-2.999618033776141890e-01,-5.248251602682773687e+00,-5.386747916816369219e+00,4.892034401311116110e-01,1.000000000000000000e+00,5.333634634567004096e-02
2.456000000000000000e+03,1.073002349842707304e+01,2.177828709338591295e+01,-2.616388232513541801e-01,-5.395232886337804956e+00,-5.502666960435412591e+00,7.664596025251999567e-01,1.000000000000000000e+00,7.218961707279823725e-02
2.506000000000000000e+03,1.045385170294052557e+01,2.149738677294409328e+01,-2.301477421352620401e-01,-5.523435909730967985e+00,-5.618006408836360599e+00,6.298216223218426890e-01,9.928873542980606315e-01,8.885184287931151281e-02
2.556000000000000000e+03,1.017204128777166261e+01,2.121074831494432544e+01,-1.953194392168761950e-01,-5.636208303377245876e+00,-5.732769159995303454e+00,6.965660583677166784e-01,9.633418743133581597e-01,1.065785153716235500e-01
2.606000000000000000e+03,9.885445546341983913e+00,2.091840041007440476e+01,-1.622468179569331592e-01,-5.731914828593515310e+00,-5.846958097398451848e+00,6.614524251988604941e-01,9.172705419495108536e-01,1.237607276921947330e-01
2.656000000000000000e+03,9.594874757872361215e+00,2.062037160556867832e+01,-1.283790374209185792e-01,-5.811415769392412223e+00,-5.960576090114583891e+00,6.773556107202913790e-01,8.754525345251529256e-01,1.412012718545899714e-01
2.706000000000000000e+03,9.301158682985928294e+00,2.031669030592532010e+01,-9.499350597427982934e-02,-5.874321497728662855e+00,-6.073625992867135892e+00,6.677106289327751076e-01,8.274074832333806473e-01,1.584950853637048518e-01
2.756000000000000000e+03,9.005115267203130713e+00,2.000738477362002499e+01,-6.145031381156975531e-02,-5.920868315656059977e+00,-6.186110646105924538e+00,6.708638432542014529e-01,7.783109932542744414e-01,1.758420475323885790e-01
2.806000000000000000e+03,8.707566318731942090e+00,1.969248312981609672e+01,-2.806980998730211618e-02,-5.950978969423728948e+00,-6.298032876078520026e+00,6.676100764853527547e-01,7.254977437636622728e-01,1.931390689591268028e-01
2.856000000000000000e+03,8.409329659916060962e+00,1.937201335507103295e+01,5.308586746626070552e-03,-5.964733176317507102e+00,-6.409395494901253265e+00,6.675679346785636792e-01,6.702295402437350447e-01,2.104348042015458664e-01
2.906000000000000000e+03,8.111223061475477891e+00,1.904600329003954329e+01,3.860459103388916291e-02,-5.962131968811660521e+00,-6.520201300629872243e+00,6.659200857452618472e-01,6.118014705119625418e-01,2.277019160703706024e-01
2.956000000000000000e+03,7.814062275515226474e+00,1.871448063617305024e+01,7.185855153376664861e-02,-5.943215719205054093e+00,-6.630453077329847567e+00,6.650792099975496585e-01,5.504937435007867252e-01,2.449511334524680506e-01
3.006000000000000000e+03,7.518662024067552352e+00,1.837747295641573331e+01,1.050503990260872461e-01,-5.908005028953509097e+00,-6.740153595146322729e+00,6.638369498464119500e-01,4.860933070649778309e-01,2.621741272248361843e-01
3.056000000000000000e+03,7.225835507396013213e+00,1.803500767589704878e+01,1.381903234034554673e-01,-5.856530333430726820e+00,-6.849305610373716213e+00,6.627984875473645898e-01,4.186342722306387043e-01,2.793721199333822347e-01
