time,x,y,phi,vx,vy,phi_dot,u1,u2
3.105000000000000000e+03,1.204541632022608866e+01,2.181267790821820540e+01,6.382771962799760335e-02,-1.663760882370519667e+00,-5.304475085333310247e+00,-1.572187267261197507e-01,-6.522029309659101992e-01,2.761996617387312784e-04
3.155000000000000000e+03,1.196379205523845002e+01,2.154175098456718018e+01,5.548924349708060644e-02,-1.632485299752800989e+00,-5.418538473020482193e+00,-1.667695226183399937e-01,-6.350586584733268758e-01,1.850523910995258495e-02
3.205000000000000000e+03,1.188352727671649234e+01,2.126543278488988165e+01,4.272288345379640639e-02,-1.605295570439231323e+00,-5.526363993546005382e+00,-2.553272008656840564e-01,-6.207147681015751095e-01,3.603811015428701886e-02
3.255000000000000000e+03,1.180430920883915036e+01,2.098465729158485260e+01,2.771019376680401713e-02,-1.584361357546871130e+00,-5.615509866100596881e+00,-3.002537937398477852e-01,-5.924748209292131085e-01,5.225228269498218697e-02
3.305000000000000000e+03,1.172577004070908657e+01,2.070029714163641188e+01,8.487106875883200507e-03,-1.570783362601137378e+00,-5.687202998968754919e+00,-3.844617378184163048e-01,-5.599742485232757083e-01,6.686031815261854472e-02
3.355000000000000000e+03,1.164743880669748677e+01,2.041339063535066600e+01,-1.161006744584610131e-02,-1.566624680231954558e+00,-5.738130125714982377e+00,-4.019434864345859948e-01,-5.120942725356582015e-01,7.997531571710721210e-02
3.405000000000000000e+03,1.156882312603346463e+01,2.012502755703440016e+01,-3.297776761636683762e-02,-1.572313613280418965e+00,-5.767261566325246669e+00,-4.273540034104147400e-01,-4.607849370148143775e-01,9.102830713043413846e-02
3.456000000000000000e+03,1.148939949006284422e+01,1.983595197107679553e+01,-5.404741061206555508e-02,-1.588472719412438616e+00,-5.781511719152102380e+00,-4.213928599139742381e-01,-4.026969586774217791e-01,1.008482870495131106e-01
3.506000000000000000e+03,1.140865169253222433e+01,1.954667773751884496e+01,-7.511575183768604003e-02,-1.614955950612350977e+00,-5.785484671159020209e+00,-4.213668245124095324e-01,-3.436234010786934356e-01,1.096694575161797774e-01
3.556000000000000000e+03,1.132606355908158235e+01,1.925748922710971200e+01,-9.574144809528159494e-02,-1.651762669012816875e+00,-5.783770208182689387e+00,-4.125139251519109318e-01,-2.819866849938329478e-01,1.180114309305690112e-01
