time,x,y,phi,vx,vy,phi_dot,u1,u2
1.000000000000000000e+00,1.500000000000000000e+01,2.799858267647879373e+01,-0.000000000000000000e+00,0.000000000000000000e+00,-2.834647042410715079e-02,-0.000000000000000000e+00,-9.817424709164253027e-01,-6.847326953363772617e-01
5.100000000000000000e+01,1.500000000000000000e+01,2.799575511605399214e+01,-0.000000000000000000e+00,0.000000000000000000e+00,-5.655120849609376193e-02,-0.000000000000000000e+00,-9.817434944672611685e-01,-6.818387943015107311e-01
1.010000000000000000e+02,1.500000000000000000e+01,2.799152436991010617e+01,-0.000000000000000000e+00,0.000000000000000000e+00,-8.461492287772044707e-02,-0.000000000000000000e+00,-9.817444963459349694e-01,-6.789261940703177345e-01
1.520000000000000000e+02,1.500000000000000000e+01,2.798589745397573125e+01,-0.000000000000000000e+00,0.000000000000000000e+00,-1.125383186874389790e-01,-0.000000000000000000e+00,-9.817454766608073591e-01,-6.759949881387798953e-01
2.020000000000000000e+02,1.500000000000000000e+01,2.797888134909982583e+01,-0.000000000000000000e+00,0.000000000000000000e+00,-1.403220975181089236e-01,-0.000000000000000000e+00,-9.817464355196975356e-01,-6.730452695353991155e-01
2.530000000000000000e+02,1.500000000000000000e+01,2.797048300122709463e+01,-0.000000000000000000e+00,0.000000000000000000e+00,-1.679669574546255317e-01,-0.000000000000000000e+00,-9.817473730298854617e-01,-6.700771308235344836e-01
3.030000000000000000e+02,1.500000000000000000e+01,2.796070932157252287e+01,-0.000000000000000000e+00,0.000000000000000000e+00,-1.954735930914595354e-01,-0.000000000000000000e+00,-9.817482892981143072e-01,-6.670906641037285256e-01
3.540000000000000000e+02,1.500000000000000000e+01,2.794956718679501506e+01,-0.000000000000000000e+00,0.000000000000000000e+00,-2.228426955501093820e-01,-0.000000000000000000e+00,-9.817491844305942239e-01,-6.640859610160206872e-01
4.040000000000000000e+02,1.500000000000000000e+01,2.793706343917019552e+01,-0.000000000000000000e+00,0.000000000000000000e+00,-2.500749524964659964e-01,-0.000000000000000000e+00,-9.817500585330037888e-01,-6.610631127422507136e-01
4.540000000000000000e+02,1.500000000000000000e+01,2.792320488676228862e+01,-0.000000000000000000e+00,0.000000000000000000e+00,-2.771710481580907937e-01,-0.000000000000000000e+00,-9.817509117104934457e-01,-6.580222100083488179e-01
5.040000000000000000e+02,1.500000000000000000e+01,2.790799830359522105e+01,-0.000000000000000000e+00,0.000000000000000000e+00,-3.041316633414074544e-01,-0.000000000000000000e+00,-9.817517440676877261e-01,-6.549633430866158568e-01
5.540000000000000000e+02,1.500000000000000000e+01,2.789258415785012346e+01,-0.000000000000000000e+00,0.000000000000000000e+00,-3.082829149019325476e-01,-0.000000000000000000e+00,-9.817517195396279206e-01,-6.541864227832361323e-01
6.040000000000000000e+02,1.500000000000000000e+01,2.787594311031701011e+01,-0.000000000000000000e+00,0.000000000000000000e+00,-3.328209506622443747e-01,-0.000000000000000000e+00,-9.817524443900303988e-01,-6.513368671747448158e-01
6.540000000000000000e+02,1.500000000000000000e+01,2.785700424297971267e+01,-0.000000000000000000e+00,0.000000000000000000e+00,-3.787773467459867316e-01,-0.000000000000000000e+00,-9.817539447543638387e-01,-6.462861912773113504e-01
7.040000000000000000e+02,1.500000000000000000e+01,2.783492869442106254e+01,-0.000000000000000000e+00,0.000000000000000000e+00,-4.415109711729711117e-01,-0.000000000000000000e+00,-9.817560369733747683e-01,-6.394800708913226384e-01
7.540000000000000000e+02,1.500000000000000000e+01,2.780899536651815396e+01,-0.000000000000000000e+00,0.000000000000000000e+00,-5.186665580581776291e-01,-0.000000000000000000e+00,-9.817586243940544799e-01,-6.311377631065148153e-01
