time,x,y,phi,vx,vy,phi_dot,u1,u2
1.000000000000000000e+00,1.500000000000000000e+01,2.799790235246930692e+01,-0.000000000000000000e+00,0.000000000000000000e+00,-4.195295061383929464e-02,-0.000000000000000000e+00,-9.817429726821697011e-01,-6.833526258699378353e-01
5.100000000000000000e+01,1.500000000000000000e+01,2.799371754564557691e+01,-0.000000000000000000e+00,0.000000000000000000e+00,-8.369613647460939776e-02,-0.000000000000000000e+00,-9.817444875437036922e-01,-6.790696345351914243e-01
1.010000000000000000e+02,1.500000000000000000e+01,2.798745601532527161e+01,-0.000000000000000000e+00,0.000000000000000000e+00,-1.252306064060756396e-01,-0.000000000000000000e+00,-9.817459703303043073e-01,-6.747589682748453832e-01
1.510000000000000000e+02,1.500000000000000000e+01,2.797912814512587687e+01,-0.000000000000000000e+00,0.000000000000000000e+00,-1.665574039878845725e-01,-0.000000000000000000e+00,-9.817474212023464819e-01,-6.704207654635275793e-01
2.010000000000000000e+02,1.500000000000000000e+01,2.796874426674678915e+01,-0.000000000000000000e+00,0.000000000000000000e+00,-2.076775675817844335e-01,-0.000000000000000000e+00,-9.817488403194027935e-01,-6.660551637839930983e-01
2.510000000000000000e+02,1.500000000000000000e+01,2.795631466022890521e+01,-0.000000000000000000e+00,0.000000000000000000e+00,-2.485921303577147967e-01,-0.000000000000000000e+00,-9.817502278402482352e-01,-6.616623002305829226e-01
3.010000000000000000e+02,1.500000000000000000e+01,2.794184955421291505e+01,-0.000000000000000000e+00,0.000000000000000000e+00,-2.893021203197655433e-01,-0.000000000000000000e+00,-9.817515839228639907e-01,-6.572423111126662887e-01
3.510000000000000000e+02,1.500000000000000000e+01,2.792535912619631588e+01,-0.000000000000000000e+00,0.000000000000000000e+00,-3.298085603320060066e-01,-0.000000000000000000e+00,-9.817529087244410979e-01,-6.527953320580659469e-01
4.010000000000000000e+02,1.500000000000000000e+01,2.790685350278910803e+01,-0.000000000000000000e+00,0.000000000000000000e+00,-3.701124681441853026e-01,-0.000000000000000000e+00,-9.817542024013846680e-01,-6.483214980164651031e-01
4.510000000000000000e+02,1.500000000000000000e+01,2.788634275996824385e+01,-0.000000000000000000e+00,0.000000000000000000e+00,-4.102148564173036527e-01,-0.000000000000000000e+00,-9.817554651093178819e-01,-6.438209432627989282e-01
5.010000000000000000e+02,1.500000000000000000e+01,2.786383692333079054e+01,-6.250000000000000347e-03,0.000000000000000000e+00,-4.501167327490564474e-01,-1.250000000000000000e-01,-9.890085766619783891e-01,-6.396865881281436073e-01
5.510000000000000000e+02,1.499984687500000291e+01,2.783934596834583175e+01,-1.600000000000000033e-02,-3.062500000000000552e-03,-4.898190996991504398e-01,-1.950000000000000067e-01,-9.780038182910957278e-01,-6.349424120330204868e-01
