time,x,y,phi,vx,vy,phi_dot,u1,u2
3.112000000000000000e+03,9.204516414786937162e+00,1.736552303928085905e+01,5.592711721267559777e-02,-4.622431180514142923e+00,-7.055491522141470462e+00,6.649592774897928882e-01,2.490504268736569160e-01,3.092792453708586020e-01
3.162000000000000000e+03,8.974765070132939115e+00,1.700736969689416256e+01,8.916179160349282928e-02,-4.595026893079931618e+00,-7.163066847733888132e+00,6.646934878163447413e-01,1.818876553571258659e-01,3.266923504522914468e-01
3.212000000000000000e+03,8.747198189373229127e+00,1.664386448205924651e+01,1.223200240501692293e-01,-4.551337615194220199e+00,-7.270104296698344015e+00,6.631646489335280004e-01,1.114895823302472361e-01,3.440720885700362386e-01
3.262000000000000000e+03,8.522628149202745362e+00,1.627503415413834631e+01,1.554335818877993491e-01,-4.491400803409637099e+00,-7.376606558417977411e+00,6.622711567526025078e-01,3.806655239163896087e-02,3.614265004998813424e-01
3.313000000000000000e+03,8.301866231788515904e+00,1.590090533869689793e+01,1.862314441119210517e-01,-4.415238348284614922e+00,-7.482576308829012035e+00,6.159572444824338300e-01,-4.117595829643122540e-02,3.786068991753578916e-01
3.364000000000000000e+03,8.085666984755022213e+00,1.552150452817249615e+01,2.115427766747366434e-01,-4.323984940669774346e+00,-7.588016210487991131e+00,5.062266512563120546e-01,-1.218561125127465422e-01,3.957039407388158181e-01
3.414000000000000000e+03,7.874650535750070901e+00,1.513685808254056298e+01,2.296326675141419915e-01,-4.220328980099153249e+00,-7.692928912638676842e+00,3.617978167881070739e-01,-1.944969525369224517e-01,4.130210397679658363e-01
3.464000000000000000e+03,7.669260087099203815e+00,1.474699222997663384e+01,2.405046682576852113e-01,-4.107808973017223586e+00,-7.797317051278608524e+00,2.174400148708643121e-01,-2.524272216683669523e-01,4.307960021742283652e-01
3.514000000000000000e+03,7.469762002820658608e+00,1.435193306751536824e+01,2.446648549457381416e-01,-3.989961685570957428e+00,-7.901183249225340433e+00,8.320373376105857921e-02,-2.944271055524401159e-01,4.490802967873219198e-01
3.564000000000000000e+03,7.276258207488282892e+00,1.395170656170625278e+01,2.448173377455973299e-01,-3.870075906647545416e+00,-8.004530116182339228e+00,3.049655997183792211e-03,-3.185096968009776819e-01,4.679993116500087424e-01
3.614000000000000000e+03,7.088752436930668921e+00,1.354633854926602510e+01,2.412970217513037419e-01,-3.750115411152203038e+00,-8.107360248804551972e+00,-7.040631988587177370e-02,-3.333228036647677972e-01,4.872458763884761068e-01
3.665000000000000000e+03,6.907158443405968740e+00,1.313602476423453780e+01,2.351297184440722665e-01,-3.631879870494064022e+00,-8.206275700629726444e+00,-1.233460661446292989e-01,-3.384980340511510866e-01,5.065080451078457502e-01
