# Trial, Score, RMS, Safe_landing, time, self-conf, workload, Control_mode, Position_x, Position_y, speed, attitude, score_t, score_p,score_v, score_a, start_time, end_time
1.000000000000000000e+00,3.160000000000000000e+02,4.322293573187466542e+00,0.000000000000000000e+00,1.916499999999999915e+01,1.000000000000000000e+02,1.000000000000000000e+02,1.000000000000000000e+00,3.000000000000000000e+01,2.581415110071568719e+01,2.768157666695424624e+01,-9.053428230410345279e+00,2.891559640218799743e+01,1.235402743646338308e+01,6.835084126644019875e-03,8.526186349483310778e+01,1.730929679797554970e+09,1.730929706835359097e+09
2.000000000000000000e+00,7.250000000000000000e+02,3.308126792856489029e+00,2.000000000000000000e+00,1.330199999999999960e+01,8.000000000000000000e+01,6.500000000000000000e+01,1.000000000000000000e+00,-5.783828243068885655e+00,4.325856660773357731e+00,1.249080860269644333e+01,1.039779409222159501e+01,9.531386225597705675e+01,1.000000000000000000e+02,1.196862859509719712e+01,8.273866040892467311e+01,1.730929750728844881e+09,1.730929765486965895e+09
3.000000000000000000e+00,7.640000000000000000e+02,2.333915361323815496e+00,0.000000000000000000e+00,7.307000000000000384e+00,5.000000000000000000e+01,4.000000000000000000e+01,1.000000000000000000e+00,8.778436295851243187e+00,4.351023862995266001e+00,4.395002491687464818e+00,-1.192562612895783580e+01,5.874126958014276312e+01,7.830283215468386970e+01,8.861998605333654666e+01,7.978540718962382527e+01,1.730929790092036963e+09,1.730929825103568077e+09
4.000000000000000000e+00,9.190000000000000000e+02,2.192587586584393566e+00,2.000000000000000000e+00,7.003000000000000114e+00,5.000000000000000000e+01,4.000000000000000000e+01,1.000000000000000000e+00,3.101080860930451877e+00,4.195989090214901296e+00,6.507900293687858273e+00,2.308452884317060416e+00,9.799170926097816903e+01,1.000000000000000000e+02,7.302812241298724416e+01,9.664578045622153013e+01,1.730929851659663916e+09,1.730929860110812902e+09
5.000000000000000000e+00,9.280000000000000000e+02,1.998795435336034654e+00,2.000000000000000000e+00,5.801999999999999602e+00,5.000000000000000000e+01,4.000000000000000000e+01,1.000000000000000000e+00,-3.677775676496533919e+00,4.214144890605528104e+00,5.265790064065843268e+00,-6.827599689199069566e+00,9.839932336890332465e+01,1.000000000000000000e+02,8.343954824355547828e+01,8.926565568707700038e+01,1.730929898458529949e+09,1.730929906235527039e+09
