# Trial, Score, RMS, Safe_landing, time, self-conf, workload, Control_mode, Position_x, Position_y, speed, attitude, score_t, score_p,score_v, score_a, start_time, end_time
1.000000000000000000e+00,9.380000000000000000e+02,2.403784737605341171e+00,2.000000000000000000e+00,8.211000000000000298e+00,1.000000000000000000e+02,1.000000000000000000e+02,1.000000000000000000e+00,-7.227570302978065797e-01,4.270214151973654282e+00,4.099655247294900384e+00,-7.763983121418266187e+00,9.755126684276895332e+01,1.000000000000000000e+02,9.002649892655453812e+01,8.760899738730434194e+01,1.748459432013684034e+09,1.748459459256155014e+09
2.000000000000000000e+00,4.050000000000000000e+02,4.151940516390357772e+00,0.000000000000000000e+00,1.426600000000000001e+01,1.000000000000000000e+02,1.000000000000000000e+02,1.000000000000000000e+00,-3.000000000000000000e+01,1.426732147562759678e+00,2.499050271917699462e+01,-1.978841670923857210e+00,3.147089225414463343e+01,3.348852768808517055e+01,2.624332412639596157e-02,9.714226712507559114e+01,1.748459522339029074e+09,1.748459538308954954e+09
3.000000000000000000e+00,9.480000000000000000e+02,2.083749167563115012e+00,2.000000000000000000e+00,6.660000000000000142e+00,0.000000000000000000e+00,1.000000000000000000e+02,1.000000000000000000e+00,-7.437265089484874636e-01,4.214849344948746079e+00,4.970345162808226469e+00,2.911973787605651065e+00,9.811111926777296333e+01,1.000000000000000000e+02,8.538132299631567435e+01,9.572165924130797521e+01,1.748459794820933104e+09,1.748459803119540930e+09
4.000000000000000000e+00,3.370000000000000000e+02,5.461507377135885299e+00,1.000000000000000000e+00,8.324500000000000455e+01,0.000000000000000000e+00,1.000000000000000000e+02,1.000000000000000000e+00,3.153907740556533668e+00,5.218131508823670828e+00,1.118381373408204027e+01,7.186257247995797570e+01,1.017998244940701191e+01,1.000000000000000000e+02,2.071966498677068103e+01,3.859763051717445048e+00,1.748459826090387106e+09,1.748459911901684046e+09
5.000000000000000000e+00,5.860000000000000000e+02,3.351516046045979191e+00,0.000000000000000000e+00,8.217000000000000526e+00,1.000000000000000000e+01,1.000000000000000000e+02,1.000000000000000000e+00,-9.305689561933487397e+00,4.014244084993833894e+00,9.197852293895751430e+00,1.573136872601387282e+01,4.347725930931031257e+01,7.755647208975346985e+01,4.136428518492714090e+01,7.210939334203861506e+01,1.748459937569709063e+09,1.748459947501893997e+09
