# Trial, Score, RMS, Safe_landing, time, self-conf, workload, Control_mode, Position_x, Position_y, speed, attitude, score_t, score_p,score_v, score_a, start_time, end_time
1.000000000000000000e+00,9.730000000000000000e+02,1.991189488345785463e+00,1.000000000000000000e+00,6.407000000000000028e+00,5.000000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00,-1.757912130498148429e+00,4.063620554394088202e+00,2.836942502311162517e+00,2.331828780424660241e+00,9.819764525579449810e+01,1.000000000000000000e+02,9.443559889830245879e+01,9.661034886834650592e+01,1.746141317637764931e+09,1.746141330841731071e+09
2.000000000000000000e+00,2.560000000000000000e+02,4.131520982098056294e+00,0.000000000000000000e+00,8.955999999999999517e+00,0.000000000000000000e+00,1.000000000000000000e+02,1.000000000000000000e+00,-3.000000000000000000e+01,1.809274728481518935e+01,1.476824321682865992e+01,2.941313552948362897e+01,3.177718526852915559e+01,2.241665449289327228e+01,4.172151014135828007e+00,4.398177373840164961e+01,1.746141355959824085e+09,1.746141392103997946e+09
3.000000000000000000e+00,3.610000000000000000e+02,4.190647142817432780e+00,0.000000000000000000e+00,1.275999999999999979e+01,0.000000000000000000e+00,1.000000000000000000e+02,1.000000000000000000e+00,-3.000000000000000000e+01,1.653997667206146360e+01,5.524059071412497524e+00,6.067755778386115395e+01,3.089029285773850475e+01,2.413536302939823486e+01,8.157734549479864938e+01,7.869490109368642905e+00,1.746141417783772945e+09,1.746141435116921902e+09
4.000000000000000000e+00,6.490000000000000000e+02,3.474302334799366232e+00,2.000000000000000000e+00,1.191600000000000037e+01,0.000000000000000000e+00,1.000000000000000000e+02,1.000000000000000000e+00,1.211797788357390715e+00,4.939409351439273621e+00,1.101913141016549602e+01,3.068542774264516737e+01,9.598901283499483839e+01,1.000000000000000000e+02,2.210486627311682994e+01,4.158209676828204948e+01,1.746141455752099037e+09,1.746141470838660002e+09
5.000000000000000000e+00,3.680000000000000000e+02,3.903152596257542850e+00,0.000000000000000000e+00,8.807000000000000384e+00,0.000000000000000000e+00,1.000000000000000000e+02,1.000000000000000000e+00,3.000000000000000000e+01,5.393936972446251588e+00,2.871610334458107872e+01,1.213014300861868655e+01,3.520271105613685592e+01,3.249830336287848809e+01,4.074846361923345484e-03,7.938373548106287103e+01,1.746141490326734066e+09,1.746141502492300987e+09
