# Trial, Score, RMS, Safe_landing, time, self-conf, workload, Control_mode, Position_x, Position_y, speed, attitude, score_t, score_p,score_v, score_a, start_time, end_time
1.000000000000000000e+00,9.020000000000000000e+02,3.677996825449745266e+00,1.000000000000000000e+00,1.346899999999999942e+01,5.000000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00,-4.680393680583659233e+00,4.108737996227041833e+00,6.692646057593246489e+00,3.658133597115516000e+00,9.522889905634387731e+01,1.000000000000000000e+02,7.117045348420091955e+01,9.455239617833761656e+01,1.751050025008307934e+09,1.751050040382584095e+09
2.000000000000000000e+00,9.130000000000000000e+02,3.023700420533093514e+00,1.000000000000000000e+00,1.137400000000000055e+01,5.000000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00,-5.285706464195911281e+00,4.238764638804177309e+00,6.134255902826326157e+00,-4.930916986740104591e+00,9.623892643140473524e+01,1.000000000000000000e+02,7.654638127349103627e+01,9.249065004209984409e+01,1.751050060146792889e+09,1.751050074768501043e+09
3.000000000000000000e+00,5.480000000000000000e+02,3.750825790417362082e+00,0.000000000000000000e+00,1.763500000000000156e+01,5.000000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00,-9.455449300426256087e+00,4.645725524053364808e+00,6.876567372574071690e+00,3.396783163215076939e+01,3.748761314373957276e+01,7.666953979012842524e+01,6.924751197098123612e+01,3.571981879318475706e+01,1.751050092357355118e+09,1.751050117074328899e+09
4.000000000000000000e+00,9.680000000000000000e+02,3.893310588943093009e+00,2.000000000000000000e+00,1.863400000000000034e+01,5.000000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00,2.792274132946097609e-01,4.090024436044274125e+00,2.055323898028278862e+00,-9.130657402648781895e-01,9.217828661329764373e+01,1.000000000000000000e+02,9.616662980410764305e+01,9.870765429194295848e+01,1.751050137944988966e+09,1.751050159370004892e+09
5.000000000000000000e+00,9.350000000000000000e+02,4.406462931360679569e+00,2.000000000000000000e+00,3.048999999999999844e+01,5.000000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00,-1.439296051461568027e+00,4.080765415116413664e+00,2.475453612183186269e+00,1.831578535960313614e+00,8.139850395767356872e+01,1.000000000000000000e+02,9.531255190811995703e+01,9.736220331360306091e+01,1.751050178961739063e+09,1.751050210427372932e+09
