# Trial, Score, RMS, Safe_landing, time, self-conf, workload, Control_mode, Position_x, Position_y, speed, attitude, score_t, score_p,score_v, score_a, start_time, end_time
1.000000000000000000e+00,9.670000000000000000e+02,2.353470472393588420e+00,2.000000000000000000e+00,6.256000000000000227e+00,5.000000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00,-3.151287694666748962e-02,4.022186701458082325e+00,4.307685736974551816e+00,4.654573369139638483e-01,9.824866750725352915e+01,1.000000000000000000e+02,8.905291108756024698e+01,9.934682391553907621e+01,1.751049861518671036e+09,1.751049879535084009e+09
2.000000000000000000e+00,9.610000000000000000e+02,1.975615639656515210e+00,2.000000000000000000e+00,6.652999999999999581e+00,5.000000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00,-1.360992980077572412e+00,4.133436134094107928e+00,4.129763745228824057e+00,-2.573512982720695064e+00,9.811353088283873092e+01,1.000000000000000000e+02,8.989051308857173694e+01,9.624230843238426303e+01,1.751049900398370028e+09,1.751049908270006895e+09
3.000000000000000000e+00,9.720000000000000000e+02,1.722698552909810443e+00,2.000000000000000000e+00,8.006999999999999673e+00,5.000000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00,-1.993659900418975894e+00,4.086530698341327650e+00,3.319926876768016566e+00,-1.407059042207851052e+00,9.762787186478713863e+01,1.000000000000000000e+02,9.302175904785259775e+01,9.798969475812853602e+01,1.751049926882287025e+09,1.751049938080991030e+09
4.000000000000000000e+00,9.620000000000000000e+02,2.186200616163033406e+00,2.000000000000000000e+00,5.506000000000000227e+00,5.000000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00,-6.025974758463732428e-01,4.152742405569412654e+00,4.346801638253828592e+00,1.837603949620810084e+00,9.849536159053081974e+01,1.000000000000000000e+02,8.886078514365674152e+01,9.735322726341745181e+01,1.751049955433027029e+09,1.751049967019978046e+09
5.000000000000000000e+00,9.490000000000000000e+02,2.397434655635861223e+00,2.000000000000000000e+00,6.559000000000000163e+00,5.000000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00,2.494614607350136737e+00,4.145584525629065098e+00,4.789352816224310416e+00,3.467204663000966303e+00,9.814581805079079402e+01,1.000000000000000000e+02,8.647509428843646617e+01,9.485438806841440851e+01,1.751049985659209967e+09,1.751049993265690088e+09
