# Trial, Score, RMS, Safe_landing, time, self-conf, workload, Control_mode, Position_x, Position_y, speed, attitude, score_t, score_p,score_v, score_a, start_time, end_time
1.000000000000000000e+00,9.340000000000000000e+02,2.403070518721080795e+00,1.000000000000000000e+00,5.360999999999999766e+00,5.000000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00,4.197895837638917271e+00,4.073770925350288508e+00,5.770454867316756165e+00,3.070887715480910884e+00,9.854178737378445874e+01,1.000000000000000000e+02,7.965342699890402400e+01,9.547510303649266916e+01,1.752608221315941095e+09,1.752609232911056042e+09
2.000000000000000000e+00,9.110000000000000000e+02,3.964220478875378539e+00,1.000000000000000000e+00,1.985000000000000142e+01,5.000000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00,-1.086218809769768257e+00,4.040870181825141572e+00,6.372755393765093146e+00,9.229459393082645180e-01,9.133018901643626464e+01,1.000000000000000000e+02,7.433821633778072169e+01,9.869342364849795501e+01,1.752609255490972996e+09,1.752609276376811981e+09
3.000000000000000000e+00,9.760000000000000000e+02,2.229211141111140826e+00,2.000000000000000000e+00,5.959999999999999964e+00,5.000000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.561230438399647369e+00,4.151312035288285074e+00,1.968350080056994855e+00,2.957938050279105280e+00,9.834735684309214321e+01,1.000000000000000000e+02,9.632376153452226220e+01,9.565048311811261783e+01,1.752609298465384007e+09,1.752609305151639938e+09
4.000000000000000000e+00,9.690000000000000000e+02,3.569686568080167710e+00,2.000000000000000000e+00,1.393999999999999950e+01,5.000000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.299377075363842948e+00,4.124044806242032735e+00,2.514254730325840903e+00,-1.945683088252671222e+00,9.498495757627100033e+01,1.000000000000000000e+02,9.522510956500941859e+01,9.719189074319270105e+01,1.752609328580957890e+09,1.752609343567846060e+09
5.000000000000000000e+00,9.660000000000000000e+02,2.722608750573347614e+00,2.000000000000000000e+00,1.548399999999999999e+01,8.500000000000000000e+01,1.000000000000000000e+02,1.000000000000000000e+00,9.562721401334677296e-01,3.988069191996039820e+00,3.535921254020236937e+00,1.112228182230544198e-02,9.413917709232734410e+01,1.000000000000000000e+02,9.228730823229085445e+01,9.998452863905096422e+01,1.752609363292898893e+09,1.752609379778729916e+09
