# Trial, Score, RMS, Safe_landing, time, self-conf, workload, Control_mode, Position_x, Position_y, speed, attitude, score_t, score_p,score_v, score_a, start_time, end_time
1.000000000000000000e+00,1.380000000000000000e+02,4.644384807583411323e+00,0.000000000000000000e+00,1.327200000000000024e+01,1.000000000000000000e+01,6.000000000000000000e+01,1.000000000000000000e+00,-3.000000000000000000e+01,1.085116380723360052e+01,4.353069891159385207e+01,-8.560611562907826055e+01,2.408422788624882571e+01,2.935119701921028934e+01,2.472750915138988148e-06,1.572814104587074047e+00,1.746142605301644087e+09,1.746142627915136099e+09
2.000000000000000000e+00,7.820000000000000000e+02,4.040344839509681485e+00,2.000000000000000000e+00,1.647500000000000142e+01,2.500000000000000000e+01,7.500000000000000000e+01,1.000000000000000000e+00,-8.558700527494593757e-01,4.805092591597382778e+00,5.181720781817385379e+00,-3.435722220055324527e+01,9.355748537592786818e+01,1.000000000000000000e+02,8.401224720012261571e+01,3.505844530396019820e+01,1.746142660434719086e+09,1.746142680116802931e+09
3.000000000000000000e+00,9.190000000000000000e+02,3.382811579719707584e+00,2.000000000000000000e+00,1.257199999999999918e+01,3.500000000000000000e+01,6.000000000000000000e+01,1.000000000000000000e+00,1.271836308562797058e+00,4.319076541864699692e+00,5.409580321604722464e+00,6.783660861663941333e+00,9.567604429171350944e+01,1.000000000000000000e+02,8.242208066646601594e+01,8.934236965777481032e+01,1.746142706949125051e+09,1.746142721319039106e+09
4.000000000000000000e+00,8.380000000000000000e+02,2.617408955527240622e+00,2.000000000000000000e+00,7.312999999999999723e+00,5.500000000000000000e+01,4.000000000000000000e+01,1.000000000000000000e+00,-2.952433583476228307e-01,4.255308464882133990e+00,8.874841023767265469e+00,-5.185771301736461503e+00,9.788167121933850012e+01,1.000000000000000000e+02,4.532815464794484939e+01,9.206778905238742539e+01,1.746142745720707893e+09,1.746142756050050020e+09
5.000000000000000000e+00,9.580000000000000000e+02,2.216555535333811555e+00,1.000000000000000000e+00,6.358999999999999986e+00,8.500000000000000000e+01,1.000000000000000000e+01,1.000000000000000000e+00,-1.685490788483594571e+00,4.014532369285582547e+00,4.613624511638402481e+00,-1.731297467958557990e+00,9.821391421195563964e+01,1.000000000000000000e+02,8.747019328536488558e+01,9.751130543909954440e+01,1.746142783960783005e+09,1.746142792733668089e+09
