# Trial, Score, RMS, Safe_landing, time, self-conf, workload, Control_mode, Position_x, Position_y, speed, attitude, score_t, score_p,score_v, score_a, start_time, end_time
1.000000000000000000e+00,9.740000000000000000e+02,1.877738584182397474e+00,1.000000000000000000e+00,7.020999999999999908e+00,2.000000000000000000e+01,9.500000000000000000e+01,1.000000000000000000e+00,-4.401396970790685259e-01,4.166577745660152488e+00,2.933514017549995412e+00,-1.905674902142242999e+00,9.798537525144777760e+01,1.000000000000000000e+02,9.417635611888877634e+01,9.725168659801545346e+01,1.746141535029139042e+09,1.746141544428571939e+09
2.000000000000000000e+00,8.180000000000000000e+02,2.648414214204167560e+00,2.000000000000000000e+00,6.761000000000000121e+00,2.000000000000000000e+01,9.500000000000000000e+01,1.000000000000000000e+00,-1.242358411441731647e+00,4.556928867740968059e+00,6.200614502667410655e+00,2.479087574057194843e+01,9.807621083334817058e+01,1.000000000000000000e+02,7.594547917634957912e+01,5.317520001080359293e+01,1.746141567467197895e+09,1.746141582449744940e+09
3.000000000000000000e+00,8.120000000000000000e+02,2.812655895311421350e+00,2.000000000000000000e+00,6.259000000000000341e+00,2.000000000000000000e+01,9.500000000000000000e+01,1.000000000000000000e+00,-1.463430030076853683e+00,4.363046282049801050e+00,8.052144192036159609e+00,1.620014240135693484e+01,9.824765829919903126e+01,1.000000000000000000e+02,5.557492144322735328e+01,7.113981649035869737e+01,1.746141608823184013e+09,1.746141616033529043e+09
4.000000000000000000e+00,3.700000000000000000e+02,3.294161493106571026e+00,0.000000000000000000e+00,9.766000000000000014e+00,2.000000000000000000e+01,9.500000000000000000e+01,1.000000000000000000e+00,3.000000000000000000e+01,1.452689510301273756e+01,1.657656765367869056e+01,-1.389762008959702655e+01,4.433757760340143506e+01,2.618446746569176753e+01,1.732234556713840856e+00,7.585707313007931418e+01,1.746141642809814930e+09,1.746141653518500090e+09
5.000000000000000000e+00,5.330000000000000000e+02,3.284839007480460538e+00,0.000000000000000000e+00,1.150999999999999979e+01,2.000000000000000000e+01,9.500000000000000000e+01,1.000000000000000000e+00,2.713344524469947316e+01,3.750000000000000000e-01,1.378642241227506338e+00,-3.638648827426357713e+01,4.447741488779308838e+01,3.990599544493038309e+01,9.723658253750271285e+01,3.173656762256531749e+01,1.746141674045640945e+09,1.746141686367043018e+09
