# Trial, Score, RMS, Safe_landing, time, self-conf, workload, Control_mode, Position_x, Position_y, speed, attitude, score_t, score_p,score_v, score_a, start_time, end_time
1.000000000000000000e+00,0.000000000000000000e+00,2.890443060062318992e+00,0.000000000000000000e+00,3.204000000000000181e+00,5.000000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00,1.500000000000000000e+01,3.375000000000000000e+01,4.993050261981862192e+00,-0.000000000000000000e+00,0.000000000000000000e+00,1.820968778385918085e+01,8.523905487037481521e+01,1.000000000000000142e+02,1.741295426531941891e+09,1.741295432499433041e+09
2.000000000000000000e+00,9.700000000000000000e+02,3.983200496803464663e+00,1.000000000000000000e+00,1.772700000000000031e+01,5.000000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00,-5.267062638486049053e+00,4.058565777698881050e+00,2.402665251595523355e+00,-2.257232165487582098e-01,9.277691705455912086e+01,1.000000000000000000e+02,9.547249583773404424e+01,9.968470482000620336e+01,1.741295493978079081e+09,1.741295523053913116e+09
3.000000000000000000e+00,4.030000000000000000e+02,3.427576262250909167e+00,0.000000000000000000e+00,8.769999999999999574e+00,5.000000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00,3.000000000000000000e+01,9.946279145857204185e-01,2.085100532054201139e+01,-9.177127489211637013e+00,4.233635606623636249e+01,3.352711253585515294e+01,2.075443816281774545e-01,8.503284793180974077e+01,1.741295548563359022e+09,1.741295560165983915e+09
4.000000000000000000e+00,8.530000000000000000e+02,3.112790368999001966e+00,2.000000000000000000e+00,9.471000000000000085e+00,5.000000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00,-3.741117255564031296e+00,4.236727112097909753e+00,7.246251942096987086e+00,-1.229548779204307074e+01,9.705721839820243702e+01,1.000000000000000000e+02,6.517803202935661488e+01,7.905796787598936248e+01,1.741295579473156929e+09,1.741295590524441004e+09
5.000000000000000000e+00,7.760000000000000000e+02,2.414356660890621953e+00,2.000000000000000000e+00,4.907000000000000028e+00,5.000000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00,4.057347046047965478e+00,3.863629673655783137e+00,1.062525025410926993e+01,8.564063023267442176e+00,9.868455310124035407e+01,1.000000000000000000e+02,2.568081091984307918e+01,8.616136071168082822e+01,1.741295673449341059e+09,1.741295681746838093e+09
