# Trial, Score, RMS, Safe_landing, time, self-conf, workload, Control_mode, Position_x, Position_y, speed, attitude, score_t, score_p,score_v, score_a, start_time, end_time
1.000000000000000000e+00,5.250000000000000000e+02,2.614037710120953317e+00,0.000000000000000000e+00,7.514999999999999680e+00,5.000000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00,-9.383936240467754430e+00,3.750000000000000000e-01,8.458506223092363996e+00,4.032987017668057206e+01,5.453943434818570069e+01,7.920225365994369326e+01,5.051865360766009871e+01,2.590389489870144146e+01,1.751050341730818033e+09,1.751050351052635908e+09
2.000000000000000000e+00,4.800000000000000000e+02,3.583760894546829334e+00,0.000000000000000000e+00,1.101900000000000013e+01,5.000000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00,3.000000000000000000e+01,7.351529035448763238e+00,6.408182381969782071e+00,-2.824687883277858802e+01,3.999358658179756532e+01,3.159794391173730332e+01,7.399885046725287907e+01,4.623662228044110378e+01,1.751050381690279007e+09,1.751050393677544117e+09
3.000000000000000000e+00,2.930000000000000000e+02,3.450375519477277830e+00,0.000000000000000000e+00,5.009000000000000341e+00,5.000000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00,-3.000000000000000000e+01,2.749805010448130460e+01,1.875493792488337519e+01,1.934057393293281990e+01,4.199436720784083121e+01,9.877419955921212136e+00,5.896578600445678831e-01,6.456838143904199967e+01,1.751050412873536110e+09,1.751050418652839899e+09
4.000000000000000000e+00,4.470000000000000000e+02,3.995909700497243033e+00,0.000000000000000000e+00,1.767599999999999838e+01,5.000000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00,-1.735568614658344089e+01,3.750000000000000000e-01,1.449081081671896243e+01,1.239664592750548877e+01,3.381135449254134784e+01,6.155606175201190666e+01,4.763387362954707882e+00,7.885821626957191199e+01,1.751050436428333044e+09,1.751050455159966946e+09
5.000000000000000000e+00,3.100000000000000000e+02,3.605422145424464375e+00,0.000000000000000000e+00,1.641799999999999926e+01,5.000000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00,-3.000000000000000000e+01,1.262138049690802077e+01,1.760828322592999839e+01,2.367864129407339036e+01,3.966866781863303260e+01,2.792343804499802218e+01,1.041393823018976761e+00,5.547125274311144949e+01,1.751050474873645067e+09,1.751050492499551058e+09
