# Trial, Score, RMS, Safe_landing, time, self-conf, workload, Control_mode, Position_x, Position_y, speed, attitude, score_t, score_p,score_v, score_a, start_time, end_time
1.000000000000000000e+00,9.740000000000000000e+02,1.915943981071503321e+00,2.000000000000000000e+00,6.459999999999999964e+00,5.000000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00,-2.952625695707254749e+00,4.179106287782836660e+00,2.955133787563136050e+00,-1.947518546443227638e+00,9.817962732784101831e+01,1.000000000000000000e+02,9.411678545768607762e+01,9.718914542331157236e+01,1.746145264049201965e+09,1.746145272622379065e+09
2.000000000000000000e+00,9.310000000000000000e+02,2.180428935054559592e+00,1.000000000000000000e+00,5.306000000000000050e+00,5.000000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00,5.956705045864822523e+00,4.291533889432805893e+00,5.216335824208733207e+00,-6.370475090949642372e+00,9.855929144115884810e+01,1.000000000000000000e+02,8.377840757881503464e+01,9.005919114730697572e+01,1.746145353019850016e+09,1.746145359638113022e+09
3.000000000000000000e+00,9.570000000000000000e+02,2.243743531997885565e+00,2.000000000000000000e+00,6.400999999999999801e+00,1.000000000000000000e+02,5.000000000000000000e+01,1.000000000000000000e+00,1.792872575376051714e+00,4.307092920317376894e+00,2.327998355751956794e+00,-6.950166002522320419e+00,9.819968142840345138e+01,1.000000000000000000e+02,9.563115850176882304e+01,8.905117372993143476e+01,1.746145402868328094e+09,1.746145410483334064e+09
4.000000000000000000e+00,9.480000000000000000e+02,2.130013127067892587e+00,2.000000000000000000e+00,6.205000000000000071e+00,1.000000000000000000e+02,5.000000000000000000e+01,1.000000000000000000e+00,2.430102019640528965e+00,4.200818547552223947e+00,4.219372359359225833e+00,-5.458197438503582077e+00,9.826579636008237628e+01,1.000000000000000000e+02,8.947601648445757405e+01,9.161212638734735947e+01,1.746145431459228039e+09,1.746145438801887035e+09
5.000000000000000000e+00,9.620000000000000000e+02,2.264902884786909709e+00,2.000000000000000000e+00,5.706000000000000405e+00,1.000000000000000000e+02,5.000000000000000000e+01,1.000000000000000000e+00,5.055591109798456273e+00,4.160552415597404519e+00,3.967545059974014521e+00,2.832782117154078350e+00,9.843065819097573410e+01,1.000000000000000000e+02,9.060411215698255205e+01,9.584402500583848905e+01,1.746145458058655024e+09,1.746145465727886915e+09
