# Trial, Score, RMS, Safe_landing, time, self-conf, workload, Control_mode, Position_x, Position_y, speed, attitude, score_t, score_p,score_v, score_a, start_time, end_time
1.000000000000000000e+00,3.330000000000000000e+02,4.349110197954315638e+00,0.000000000000000000e+00,2.047299999999999898e+01,1.500000000000000000e+01,6.500000000000000000e+01,1.000000000000000000e+00,-2.660024922560499405e+01,3.750000000000000000e-01,7.475537813455911618e+00,9.102000408870875958e+01,2.851334703068526721e+01,4.108666761141755330e+01,6.253293490000193344e+01,1.100449534736368751e+00,1.746142324457544088e+09,1.746142359119959116e+09
2.000000000000000000e+00,9.060000000000000000e+02,4.593228306694124186e+00,2.000000000000000000e+00,2.019000000000000128e+01,3.500000000000000000e+01,8.000000000000000000e+01,1.000000000000000000e+00,-1.645532072213260477e+00,4.053005198652691377e+00,5.828791975240394940e+00,5.047055088451304350e+00,9.108346134519631221e+01,1.000000000000000000e+02,7.917660933391704248e+01,9.229836107452057092e+01,1.746142390561916113e+09,1.746142414220992088e+09
3.000000000000000000e+00,8.970000000000000000e+02,2.961637750303729444e+00,2.000000000000000000e+00,9.166000000000000369e+00,6.000000000000000000e+01,4.500000000000000000e+01,1.000000000000000000e+00,-2.165409897426968655e+00,4.204290950845912533e+00,6.889962070873970390e+00,-4.929351235619985339e+00,9.718017403312259717e+01,1.000000000000000000e+02,6.910470613839466125e+01,9.249323773864523446e+01,1.746142449546643019e+09,1.746142461249418974e+09
4.000000000000000000e+00,8.640000000000000000e+02,2.258037977458173806e+00,2.000000000000000000e+00,6.209999999999999964e+00,5.500000000000000000e+01,3.500000000000000000e+01,1.000000000000000000e+00,3.888594725033073018e+00,4.054743303908050933e+00,7.976947701925056755e+00,6.002565195384961250e+00,9.826411937083410919e+01,1.000000000000000000e+02,5.650114159635204203e+01,9.069044030235164655e+01,1.746142497372848988e+09,1.746142506155834913e+09
5.000000000000000000e+00,9.520000000000000000e+02,2.104872902392793232e+00,1.000000000000000000e+00,6.910999999999999588e+00,8.000000000000000000e+01,1.000000000000000000e+01,1.000000000000000000e+00,3.798741485018375386e-01,4.254371317009745468e+00,3.347886834750121388e+00,-6.515022639741316013e+00,9.802397735667933887e+01,1.000000000000000000e+02,9.293046345075131853e+01,8.980936404054963873e+01,1.746142538432918072e+09,1.746142548138839960e+09
