# Trial, Score, RMS, Safe_landing, time, self-conf, workload, Control_mode, Position_x, Position_y, speed, attitude, score_t, score_p,score_v, score_a, start_time, end_time
1.000000000000000000e+00,9.050000000000000000e+02,2.092951876169752534e+00,2.000000000000000000e+00,6.458999999999999631e+00,5.000000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00,-5.351062606268282451e+00,4.211053163825788204e+00,6.572019257468221909e+00,-5.555674788599288760e+00,9.817996781703972431e+01,1.000000000000000000e+02,7.239200321799820870e+01,9.144817488007031159e+01,1.741293693620043039e+09,1.741293707113185883e+09
2.000000000000000000e+00,9.500000000000000000e+02,2.183362258184964322e+00,1.000000000000000000e+00,5.706000000000000405e+00,5.000000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00,2.407978600952873194e+00,4.232396241043840490e+00,4.625235697502326104e+00,3.867535027419953586e+00,9.843065819097573410e+01,1.000000000000000000e+02,8.740642634262061961e+01,9.421898501174965190e+01,1.741293731742707968e+09,1.741293739851280928e+09
3.000000000000000000e+00,9.040000000000000000e+02,2.292008752909773239e+00,2.000000000000000000e+00,7.009999999999999787e+00,5.000000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00,3.037769672629110573e+00,4.142745119210431426e+00,7.049654575552854574e+00,2.496735560846891300e+00,9.798924684090128778e+01,1.000000000000000000e+02,6.737450649256588520e+01,9.635956441808569650e+01,1.741293764704580069e+09,1.741293772550790071e+09
4.000000000000000000e+00,8.430000000000000000e+02,2.266530889587015984e+00,2.000000000000000000e+00,5.163999999999999702e+00,5.000000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00,4.704100895742158173e-01,4.337792561404299363e+00,8.213198083342375000e+00,9.217820850763596141e+00,9.860421655579301614e+01,1.000000000000000000e+02,5.357889307863386819e+01,8.495736540824819372e+01,1.741293798678797960e+09,1.741293804635211945e+09
5.000000000000000000e+00,3.800000000000000000e+02,3.659105000753494430e+00,0.000000000000000000e+00,5.607999999999999652e+00,5.000000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00,-3.000000000000000000e+01,2.590593529648161919e+01,3.018450616104523032e+00,6.301720056093027722e+01,3.886342498869758799e+01,1.222131672491666166e+01,9.393902197439093982e+01,6.794082841646691406e+00,1.741293824925098896e+09,1.741293831900088072e+09
